word,count
constrain,1
invasion,1
to-morrow,1
accord,1
succeeds,1
equally,1
conform,2
differently,1
governs,1
converge,1
deviate,1
adventurous,3
impetuously,1
move,4
deviated,1
unsuccessful,1
woman,2
coldly,1
violent,1
audacity,1
exhortation,1
barbarians,1
wondering,2
virtuous,1
concur,1
fit,1
hebrews,1
torn,1
desolation,1
waits,1
ravaging,1
cleanse,1
sores,1
entreats,1
deliver,2
insolencies,1
banner,1
extraordinarily,1
cloud,1
poured,2
water,5
manna,1
revolutions,1
dignified,1
limbs,1
attentively,1
duels,1
combats,1
dexterity,2
subtlety,1
comparison,1
insufficiency,1
mestri,2
battles,1
singly,1
commanded,5
spanish,3
combat,2
german,4
tactics,2
helpless,1
dashed,1
infantries,1
improvements,1
scourings,1
thirst,1
closed,1
homage,1
stinks,1
charge,9
standard,1
auspices,1
petrarch,1
virtu,1
al,1
furore,1
prendera,1
fia,1
corto,1
valore,1
italici,1
ancor,1
th',2
brests,1
murdering,1
calumnies,1
arezzo,2
val,5
arrived,4
district,2
gianpagolo,1
promising,1
encouragement,2
effecting,2
fortifying,1
causing,1
timber,1
beams,1
bridge,4
prevented,1
inside,1
thence,5
capture,3
fort,2
beg,1
negotiate,3
approached,3
fossombrone,1
perfect,1
practices,1
insurgents,1
separate,1
outwit,1
ducats,1
expeditions,1
surrendered,3
exhorted,1
suspicions,1
mons,1
middle,2
fano,5
cleverness,1
pointing,1
lack,1
sincerity,1
permanency,1
councils,1
gifts,2
followers,2
don,3
michele,4
d'euna,1
duke's,3
footmen,1
daybreak,1
river,22
cavalcade,1
situate,1
shore,2
bathes,1
looking,2
bank,4
distance,2
arrives,1
abreast,1
gate,6
stands,1
six,2
room,3
band,2
fifty,1
quartered,1
suburb,1
wheeled,1
stopping,1
mules,1
vitellozo,1
wearing,1
cape,1
lined,2
green,1
approaching,1
parting,1
recommended,1
respectfully,1
commissioned,2
noticing,2
missing--for,1
drilling,1
dismounted,1
stripped,1
vitellian,1
repressed,1
outrage,1
sacked,1
prayed,2
pardon,2
cringed,1
january,1
pieve,1
dearest,1
performed,2
exposed,3
shame,1
relate,1
tales,1
lowly,1
desirous,3
indications,1
fallen,1
dying,1
marry,1
vineyard,2
resided,4
bounded,1
sides,4
access,11
occasion,1
gather,1
dinner,1
direction,3
lying,1
enveloped,1
compassion,1
lifted,1
washed,1
clean,1
customary,1
reared,1
baptized,1
handsome,1
quickness,1
lessons,1
imparted,1
inducted,1
canonry,1
benefices,1
unfitted,1
chiding,1
reading,2
playing,1
mighty,1
sorrow,1
gentleman,4
guinigi,13
podesta,1
finest,1
greatly,5
bringing,1
asked,10
hear,4
blushing,1
priestly,1
delighted,1
lad,1
astonishing,1
charger,1
jousts,1
enhanced,1
charm,1
deferential,1
courteous,2
eighteenth,1
ghibellines,7
guelphs,7
ample,1
estimation,3
arts,2
thirteen,1
son's,1
enormously,1
amount,2
universal,1
seeds,1
eminence,1
scorn,1
deputy,3
uguccione,22
faggiuola,2
communications,3
portcullis,1
calling,1
forcing,1
supporters,2
headquarters,1
absorbed,1
nievole,4
pescia,3
skirmishes,1
cured,1
insolent,1
evidences,2
emboldened,1
noticed,1
lines,1
defy,1
squadrons,1
contact,5
center,1
interval,1
expedient,1
castruccio's,6
enemy's,2
efficient,1
disengaged,1
displaying,5
heavy,1
officers,1
knights,1
onset,1
pier,1
agnolo,1
micheli,1
murderer,3
sergeants,1
neri,4
supper,2
incensed,2
baths,1
occurrences,1
openly,1
squares,1
streets,2
released,2
gathered,2
discreetly,1
recovery,1
serezzana,1
constructed,1
massa,1
pontremoli,1
anastagio,1
welcomed,2
defer,1
pazzino,1
portico,1
cecco,1
bavaria,1
lieutenant,2
constrained,1
exiles,2
matteo,4
guidi,2
lapo,1
uberti,1
buonaccorsi,1
enrolled,1
summon,1
fucecchio,5
elevate,1
intervened,1
mediator,1
begged,2
graciously,1
responded,1
inception,1
thanked,1
recovered,1
weary,1
pretences,1
towers,1
hunted,1
worked,2
gia,2
midnight,2
faction,1
debts,1
flocked,1
disturbances,1
dearness,1
avignon,1
apply,2
ceased,1
corn,1
removed,3
chastised,2
admonished,1
pomp,1
brocaded,1
toga,1
embroidered,1
wills,1
pistoians,4
baldo,1
cecchi,1
pistoian,1
florentines',1
hesitated,1
overwhelmed,1
numbers,2
situated,1
blocks,1
bowshot,1
narrow,2
steep,2
manfred,2
unclaimed,1
either--neither,1
displace,1
intimate,2
resident,1
persist,1
encampment,1
meantime,1
marching,1
main,2
noise,2
inextricably,1
stout,1
rear,3
strike,1
infantrymen,2
dispatched,1
flank,1
spread,2
bandini,1
